ruta,lineas,main,class,plugin,tests,importado,ultima_mod,estado
core/mochila/app.py,37,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
core/mochila/circuit_breaker.py,128,False,True,False,False,True,2026-07-25 15:19:11 +0200,activo
core/mochila/cost_tracker.py,70,False,True,False,False,True,2026-07-25 15:19:11 +0200,activo
core/mochila/guardian_middleware.py,37,False,True,False,False,True,2026-08-03 01:02:24 +0200,activo
core/mochila/guardian_opencode.py,104,False,True,False,True,True,2026-07-26 19:15:38 +0200,activo
core/mochila/helpers.py,10,False,False,False,False,True,2026-07-22 19:16:17 +0200,esbozo
core/mochila/mochila_server.py,778,False,True,False,True,True,2026-08-02 06:13:13 +0200,activo
core/mochila/models.py,43,False,True,False,False,True,2026-07-22 19:16:17 +0200,activo
core/mochila/providers/__init__.py,9,False,False,False,False,True,2026-08-04 11:21:20 +0200,esbozo
core/mochila/providers/base.py,34,False,True,False,False,True,2026-07-25 15:20:32 +0200,activo
core/mochila/providers/deepseek.py,102,False,True,False,False,False,2026-07-25 15:20:32 +0200,dormido
core/mochila/providers/gemini.py,132,False,True,False,False,False,2026-08-04 11:21:20 +0200,dormido
core/mochila/providers/groq.py,102,False,True,False,False,False,2026-07-25 15:20:32 +0200,dormido
core/mochila/providers/ollama.py,202,False,True,False,False,True,2026-07-25 15:20:32 +0200,activo
core/mochila/providers/openrouter.py,117,False,True,False,False,False,2026-07-25 15:20:32 +0200,dormido
core/mochila/rate_limiter.py,53,False,True,False,False,True,2026-07-25 15:19:11 +0200,activo
core/mochila/router.py,138,False,True,False,False,True,2026-07-25 15:19:11 +0200,activo
core/mochila/routes/__init__.py,24,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
core/mochila/routes/breaker.py,19,False,False,False,False,False,2026-07-22 19:16:17 +0200,esbozo
core/mochila/routes/chat.py,137,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
core/mochila/routes/health.py,12,False,False,False,True,True,2026-07-22 19:16:17 +0200,esbozo
core/mochila/routes/memoria.py,81,False,False,False,False,True,2026-08-04 11:21:20 +0200,libreria
core/mochila/routes/metrics.py,23,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
core/mochila/routes/models.py,30,False,False,False,False,True,2026-07-27 14:11:10 +0200,libreria
core/mochila/routes/proxy.py,153,False,False,False,False,True,2026-08-02 01:47:13 +0200,libreria
core/mochila/routes/status.py,29,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
core/mochila/status_endpoint.py,152,False,False,False,False,False,2026-07-26 20:43:07 +0200,libreria
core/mochila/streaming.py,88,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
core/mochila/tools.py,291,False,False,False,False,True,2026-08-04 09:19:53 +0200,libreria
core/mochila/vram_scheduler.py,198,False,True,False,False,True,2026-08-02 05:54:15 +0200,activo
core/model_router/__init__.py,57,False,False,False,False,True,2026-08-02 19:27:12 +0200,libreria
core/model_router/__main__.py,10,False,False,False,False,True,2026-07-21 05:45:26 +0200,esbozo
core/model_router/cache.py,47,False,True,False,False,True,2026-07-21 04:53:30 +0200,activo
core/model_router/cli.py,92,True,False,False,False,True,2026-07-23 18:45:26 +0200,activo
core/model_router/dashboard.py,237,False,True,False,False,True,2026-07-22 19:16:31 +0200,activo
core/model_router/handler.py,411,False,True,False,False,True,2026-08-04 09:19:53 +0200,activo
core/model_router/metrics.py,60,False,True,False,False,True,2026-07-21 04:53:30 +0200,activo
core/model_router/model_selection.py,203,False,False,False,False,True,2026-08-02 06:23:43 +0200,libreria
core/model_router/proxy.py,243,False,False,False,False,True,2026-07-28 21:21:45 +0200,libreria
core/model_router/router.py,93,False,True,False,False,True,2026-07-22 19:16:31 +0200,activo
core/model_router/vram_guard.py,79,False,True,False,True,True,2026-07-21 04:53:30 +0200,activo
core/notifier.py,97,False,False,False,False,True,2026-07-25 15:19:11 +0200,libreria
core/path_setup.py,30,False,False,False,True,True,2026-07-25 15:19:11 +0200,libreria
core/qdrant_retention.py,127,True,False,False,False,True,2026-07-25 15:19:11 +0200,activo
core/query_cache.py,50,False,True,False,True,True,2026-07-25 15:19:11 +0200,activo
core/resolver_red.py,221,True,False,False,True,True,2026-07-27 14:23:56 +0200,activo
core/sandbox/__init__.py,6,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/sandbox/docker_orchestrator.py,177,False,True,False,True,True,2026-07-26 19:15:38 +0200,activo
core/sandbox.py,255,True,True,False,True,True,2026-08-04 11:21:20 +0200,activo
core/scraper_pool.py,68,False,True,False,True,True,2026-07-26 20:43:07 +0200,activo
core/search_engine.py,36,False,False,False,True,True,2026-08-03 01:02:24 +0200,libreria
core/search_logger.py,164,False,True,False,True,True,2026-07-20 13:35:48 +0200,activo
core/secretario_cache.py,119,True,True,False,False,True,2026-08-02 03:15:30 +0200,activo
core/seguridad/__init__.py,1,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/seguridad/rollback_manager.py,76,False,True,False,False,True,2026-08-03 01:02:24 +0200,activo
core/stealth_fetcher.py,104,False,False,False,True,True,2026-07-26 19:15:38 +0200,libreria
core/utils/__init__.py,6,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/utils/anonymizer.py,48,True,False,False,False,True,2026-07-26 19:15:38 +0200,activo
core/voice/__init__.py,13,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/voice/anker_mac_pipeline.py,167,False,True,False,False,False,2026-07-26 20:43:07 +0200,dormido
